job_id,num_resume,predict_id,ndcg@1,ndcg@3,ndcg@5,ndcg@7,ndcg@10,ndcg@20,ndcg@50
4978,897,6,0,0,0,0.3562071871080222,0.3562071871080222,0.3562071871080222,0.3562071871080222
4979,897,361,0,0,0,0,0,0,0
4980,897,3,0,0.5,0.5,0.5,0.5,0.5,0.5
4981,897,18,0,0,0,0,0,0.23540891336663824,0.23540891336663824
4982,896,455,0,0,0,0,0,0,0
4983,897,112,0,0,0,0,0,0,0
4984,897,162,0,0,0,0,0,0,0
4985,897,5,0,0,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.38685280723454163
4986,897,44,0,0,0,0,0,0,0.18208790046993825
4987,897,15,0,0,0,0,0,0.25,0.25
4988,897,213,0,0,0,0,0,0,0
4989,897,241,0,0,0,0,0,0,0
4990,897,172,0,0,0,0,0,0,0
4992,897,125,0,0,0,0,0,0,0
4993,897,149,0,0,0,0,0,0,0
4994,897,20,0,0,0,0,0,0.227670248696953,0.227670248696953
4995,897,323,0,0,0,0,0,0,0
4996,897,186,0,0,0,0,0,0,0
4997,897,277,0,0,0,0,0,0,0
4998,897,265,0,0,0,0,0,0,0
4999,897,56,0,0,0,0,0,0,0
5000,897,230,0,0,0,0,0,0,0
5001,897,185,0,0,0,0,0,0,0
5002,896,624,0,0,0,0,0,0,0
5003,897,130,0,0,0,0,0,0,0
5005,897,324,0,0,0,0,0,0,0
5006,897,8,0,0,0,0,0.31546487678572877,0.31546487678572877,0.31546487678572877
5007,897,129,0,0,0,0,0,0,0
5008,897,424,0,0,0,0,0,0,0
5009,897,9,0,0,0,0,0.3010299956639812,0.3010299956639812,0.3010299956639812
5010,897,750,0,0,0,0,0,0,0
5011,897,124,0,0,0,0,0,0,0
5012,897,114,0,0,0,0,0,0,0
5013,897,397,0,0,0,0,0,0,0
5014,897,431,0,0,0,0,0,0,0
5015,897,166,0,0,0,0,0,0,0
5016,897,209,0,0,0,0,0,0,0
5017,897,380,0,0,0,0,0,0,0
5018,897,371,0,0,0,0,0,0,0
5019,897,379,0,0,0,0,0,0,0
5020,897,9,0,0,0,0,0.3010299956639812,0.3010299956639812,0.3010299956639812
5022,897,143,0,0,0,0,0,0,0
5023,897,276,0,0,0,0,0,0,0
5024,897,122,0,0,0,0,0,0,0
5025,897,119,0,0,0,0,0,0,0
5027,897,75,0,0,0,0,0,0,0
5028,897,888,0,0,0,0,0,0,0
5029,897,243,0,0,0,0,0,0,0
5030,897,249,0,0,0,0,0,0,0
5031,897,378,0,0,0,0,0,0,0
